Id,Category
0,7
1,7
2,6
3,6
4,6
5,7
6,6
7,7
8,0
9,6
10,7
11,7
12,7
13,7
14,7
15,7
16,6
17,7
18,7
19,0
20,7
21,7
22,6
23,0
24,7
25,7
26,6
27,6
28,6
29,7
30,7
31,7
32,0
33,6
34,7
35,7
36,7
37,7
38,7
39,6
40,6
41,7
42,7
43,0
44,7
45,6
46,6
47,7
48,7
49,7
50,7
51,6
52,6
53,7
54,7
55,7
56,0
57,6
58,6
59,7
60,7
61,7
62,0
63,6
64,6
65,7
66,7
67,7
68,7
69,6
70,6
71,7
72,7
73,7
74,6
75,6
76,7
77,7
78,7
79,7
80,7
81,6
82,7
83,3
84,7
85,7
86,0
87,7
88,6
89,7
90,7
91,7
92,7
93,6
94,6
95,7
96,7
97,7
98,7
99,6
100,6
101,7
102,7
103,7
104,7
105,6
106,6
107,7
108,7
109,7
110,0
111,7
112,6
113,7
114,7
115,0
116,6
117,6
118,7
119,7
120,7
121,7
122,7
123,7
124,6
125,7
126,7
127,7
128,7
129,6
130,7
131,3
132,7
133,7
134,7
135,7
136,6
137,7
138,7
139,0
140,7
141,7
142,7
143,7
144,7
145,7
146,0
147,6
148,6
149,7
150,7
151,7
152,7
153,6
154,6
155,7
156,7
157,7
158,0
159,6
160,6
161,7
162,7
163,0
164,7
165,6
166,6
167,0
168,7
169,7
170,6
171,6
172,6
173,7
174,7
175,7
176,7
177,6
178,6
179,7
180,7
181,7
182,6
183,7
184,6
185,6
186,7
187,0
188,7
189,6
190,7
191,7
192,7
193,7
194,0
195,6
196,6
197,7
198,7
199,7
200,7
201,6
202,7
203,7
204,7
205,7
206,7
207,6
208,6
209,7
210,7
211,0
212,7
213,6
214,7
215,7
216,7
217,7
218,6
219,6
220,6
221,7
222,7
223,7
224,7
225,6
226,6
227,3
228,7
229,7
230,0
231,6
232,6
233,7
234,7
235,0
236,7
237,6
238,6
239,7
240,7
241,7
242,0
243,6
244,6
245,7
246,7
247,7
248,7
249,6
250,7
251,7
252,7
253,7
254,0
255,7
256,6
257,7
258,7
259,0
260,6
261,6
262,6
263,7
264,7
265,7
266,6
267,6
268,7
269,7
270,7
271,7
272,7
273,6
274,7
275,7
276,7
277,7
278,7
279,7
280,6
281,7
282,7
283,0
284,7
285,6
286,6
287,0
288,7
289,7
290,6
291,6
292,6
293,7
294,7
295,7
296,0
297,6
298,7
299,7
300,7
301,7
302,7
303,6
304,6
305,7
306,7
307,7
308,7
309,6
310,7
311,7
312,7
313,7
314,7
315,6
316,6
317,7
318,7
319,7
320,0
321,6
322,7
323,7
324,7
325,7
326,7
327,6
328,6
329,7
330,7
331,7
332,6
333,7
334,6
335,7
336,7
337,7
338,7
339,6
340,6
341,7
342,7
343,7
344,0
345,7
346,7
347,7
348,7
349,7
350,7
351,6
352,6
353,7
354,7
355,7
356,7
357,6
358,7
359,7
360,7
361,7
362,6
363,6
364,6
365,7
366,7
367,7
368,7
369,6
370,6
371,7
372,7
373,7
374,6
375,6
376,6
377,7
378,7
379,0
380,7
381,6
382,7
383,0
384,7
385,7
386,6
387,7
388,6
389,7
390,7
391,7
392,7
393,6
394,7
395,7
396,7
397,7
398,0
399,6
400,6
401,7
402,7
403,0
404,7
405,6
406,6
407,7
408,7
409,7
410,6
411,7
412,6
413,7
414,7
415,7
416,0
417,6
418,6
419,7
420,7
421,7
422,6
423,6
424,6
425,7
426,7
427,7
428,7
429,7
430,7
431,0
432,7
433,7
434,6
435,6
436,6
437,7
438,7
439,7
440,0
441,6
442,6
443,7
444,7
445,7
446,0
447,7
448,7
449,7
450,7
451,7
452,7
453,6
454,6
455,7
456,6
457,7
458,7
459,6
460,6
461,7
462,7
463,7
464,7
465,6
466,6
467,6
468,7
469,7
470,0
471,7
472,6
473,7
474,7
475,0
476,7
477,6
478,6
479,7
480,7
481,7
482,6
483,6
484,7
485,7
486,7
487,7
488,0
489,7
490,6
491,3
492,7
493,7
494,0
495,6
496,6
497,7
498,7
499,0
500,7
501,6
502,7
503,0
504,7
505,7
506,6
507,6
508,0
509,7
510,7
511,7
512,7
513,6
514,6
515,7
516,7
517,7
518,7
519,6
520,6
521,7
522,7
523,7
524,6
525,6
526,7
527,7
528,7
529,7
530,7
531,6
532,6
533,7
534,7
535,7
536,7
537,6
538,7
539,7
540,7
541,7
542,7
543,7
544,6
545,7
546,7
547,0
548,7
549,6
550,6
551,0
552,7
553,7
554,0
555,7
556,6
557,7
558,7
559,7
560,7
561,6
562,6
563,7
564,7
565,7
566,7
567,6
568,6
569,7
570,7
571,0
572,7
573,7
574,6
575,6
576,7
577,7
578,7
579,6
580,6
581,7
582,6
583,7
584,7
585,6
586,7
587,7
588,7
589,7
590,7
591,6
592,6
593,7
594,7
595,7
596,7
597,6
598,7
599,7
600,7
601,7
602,0
603,6
604,6
605,7
606,7
607,7
608,6
609,6
610,7
611,3
612,7
613,7
614,0
615,6
616,6
617,7
618,7
619,7
620,7
621,6
622,7
623,7
624,7
625,7
626,0
627,6
628,6
629,7
630,7
631,7
632,0
633,6
634,6
635,7
636,7
637,7
638,7
639,6
640,6
641,7
642,7
643,0
644,7
645,6
646,7
647,7
648,7
649,7
650,0
651,6
652,7
653,7
654,7
655,7
656,0
657,6
658,7
659,3
660,7
661,7
662,0
663,7
664,6
665,7
666,7
667,7
668,7
669,7
670,6
671,7
