Id,Category
0,3
1,2
2,8
3,0
4,9
5,4
6,6
7,7
8,1
9,4
10,3
11,8
12,1
13,4
14,0
15,3
16,0
17,7
18,8
19,9
20,0
21,6
22,9
23,6
24,5
25,8
26,9
27,5
28,7
29,5
30,0
31,3
32,6
33,1
34,4
35,1
36,3
37,1
38,6
39,3
40,2
41,5
42,2
43,1
44,8
45,2
46,6
47,6
48,1
49,9
50,7
51,9
52,6
53,3
54,2
55,3
56,4
57,9
58,0
59,7
60,9
61,4
62,4
63,3
64,0
65,2
66,2
67,0
68,2
69,4
70,0
71,6
72,7
73,7
74,5
75,9
76,0
77,0
78,4
79,2
80,7
81,2
82,9
83,2
84,9
85,2
86,7
87,5
88,2
89,9
90,8
91,7
92,5
93,2
94,3
95,5
96,3
97,3
98,6
99,9
100,2
101,3
102,3
103,7
104,5
105,5
106,3
107,2
108,2
109,3
110,1
111,3
112,4
113,4
114,8
115,0
116,7
117,2
118,4
119,2
120,6
121,7
122,7
123,4
124,7
125,8
126,6
127,9
128,0
129,5
130,9
131,1
132,9
133,0
134,9
135,5
136,1
137,0
138,3
139,0
140,7
141,9
142,2
143,7
144,5
145,4
146,9
147,0
148,2
149,2
150,6
151,4
152,0
153,2
154,8
155,4
156,1
157,3
158,4
159,0
160,7
161,4
162,7
163,9
164,9
165,4
166,6
167,4
168,5
169,5
170,9
171,2
172,4
173,4
174,6
175,3
176,5
177,4
178,1
179,9
180,1
181,9
182,3
183,7
184,4
185,2
186,4
187,1
188,4
189,7
190,6
191,8
192,2
193,7
194,6
195,1
196,8
197,5
198,2
199,0
200,5
201,4
202,2
203,3
204,7
205,1
206,8
207,4
208,4
209,6
210,6
211,7
212,4
213,1
214,2
215,9
216,8
217,4
218,5
219,2
220,9
221,6
222,8
223,6
224,1
225,4
226,9
227,7
228,2
229,2
230,7
231,2
232,9
233,2
234,3
235,6
236,5
237,7
238,8
239,1
240,3
241,0
242,4
243,0
244,5
245,9
246,3
247,8
248,6
249,9
250,2
251,2
252,2
253,9
254,8
255,9
256,5
257,3
258,3
259,6
260,1
261,7
262,1
263,4
264,3
265,0
266,4
267,9
268,4
269,5
270,2
271,5
272,6
273,4
274,2
275,9
276,9
277,2
278,2
279,3
280,8
281,4
282,5
283,2
284,7
285,0
286,0
287,8
288,1
289,4
290,5
291,6
292,2
293,1
294,2
295,7
296,4
297,2
298,8
299,6
300,7
301,7
302,7
303,8
304,2
305,0
306,3
307,0
308,3
309,8
310,9
311,9
312,8
313,2
314,2
315,6
316,6
317,4
318,9
319,4
320,5
321,7
322,6
323,1
324,7
325,6
326,5
327,9
328,7
329,2
330,4
331,3
332,1
333,0
334,1
335,3
336,7
337,9
338,8
339,9
340,8
341,9
342,8
343,2
344,8
345,7
346,5
347,6
348,0
349,9
350,4
351,8
352,6
353,6
354,1
355,6
356,9
357,1
358,4
359,4
360,8
361,0
362,3
363,8
364,5
365,8
366,3
367,8
368,8
369,9
370,8
371,4
372,3
373,5
374,4
375,8
376,5
377,4
378,0
379,5
380,4
381,7
382,9
383,7
384,4
385,7
386,0
387,4
388,2
389,4
390,3
391,1
392,1
393,2
394,1
395,4
396,1
397,8
398,8
399,6
400,1
401,9
402,0
403,6
404,3
405,4
406,6
407,1
408,7
409,3
410,4
411,4
412,9
413,8
414,2
415,7
416,1
417,9
418,4
419,7
420,9
421,6
422,4
423,2
424,9
425,8
426,8
427,7
428,2
429,1
430,0
431,0
432,8
433,1
434,4
435,9
436,9
437,4
438,2
439,7
440,3
441,7
442,3
443,9
444,3
445,9
446,6
447,2
448,3
449,3
450,1
451,7
452,2
453,9
454,1
455,9
456,3
457,1
458,1
459,6
460,6
461,7
462,0
463,1
464,6
465,2
466,5
467,0
468,4
469,4
470,4
471,3
472,6
473,2
474,9
475,0
476,7
477,2
478,1
479,0
480,4
481,5
482,2
483,5
484,2
485,5
486,2
487,9
488,0
489,2
490,1
491,2
492,0
493,1
494,5
495,1
496,1
497,0
498,7
499,3
500,9
501,1
